Bug_ID,Sprint,Release_Version,Module,Feature,Component,Bug_Title,Bug_Description,Steps_To_Reproduce,Expected_Result,Actual_Result,Severity,Priority,Bug_Type,Status,Lifecycle_Stage,Reporter,QA_Engineer,Assigned_To,Team,Environment,Operating_System,Browser,Device,App_Version,Date_Reported,Date_Assigned,Date_Fixed,Date_Retested,Date_Closed,Resolution,Root_Cause,Resolution_Time_Hours,Comments,Duplicate_Of,bug1,bug2,duplicate,Similarity_Score
BUG-1011,Sprint-3,v2.1.2,Chat,Chat Feature,Chat Component,Chat Feature Shows Blank Screen,Chat feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,Critical,P1,UI,In Progress,Open,Vamsi,Nisha,Rahul,Mobile,QA,iOS 18,Edge,Laptop,2.0,2026-01-11,2026-01-12,2026-01-14,2026-01-15,2026-01-16,Fixed,Code defect,45,Verified by QA,,Chat feature shows blank screen,Application freezes in Checkout,0,0.6
BUG-1012,Sprint-2,v2.5.5,Scanner,Scanner Feature,Scanner Component,Scanner Feature Freezes,Scanner feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,Critical,P2,Security,Fixed,Open,Kiran,Sneha,Deepak,Backend,Production,Android 14,Chrome,Laptop,2.0,2026-01-12,2026-01-13,2026-01-15,2026-01-16,2026-01-17,Fixed,Code defect,36,Verified by QA,,Scanner feature freezes,Application returns error 500 in Profile,0,0.48
BUG-1013,Sprint-10,v2.0.4,Search,Search Feature,Search Component,Search Feature Does Not Respond,Search feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,High,P2,Security,Closed,Open,Priya,Pooja,Deepak,DevOps,Production,Ubuntu 24.04,Edge,Laptop,2.0,2026-01-13,2026-01-14,2026-01-16,2026-01-17,2026-01-18,Duplicate,Code defect,25,Verified by QA,BUG-1008,Search feature does not respond,Issue where search does not respond,1,0.92
BUG-1014,Sprint-9,v2.6.0,Profile,Profile Feature,Profile Component,Profile Feature Cannot Open,Profile feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Low,P2,Validation,Fixed,Open,Kiran,Nisha,Arjun,DevOps,QA,Ubuntu 24.04,Safari,Laptop,2.0,2026-01-14,2026-01-15,2026-01-17,2026-01-18,2026-01-19,Fixed,Code defect,45,Verified by QA,,Profile feature cannot open,Application shows blank screen in Notification,0,0.38
BUG-1015,Sprint-2,v2.9.3,Checkout,Checkout Feature,Checkout Component,Checkout Feature Crashes,Checkout feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Critical,P3,API,Open,Open,Anil,Sneha,Deepak,Frontend,UAT,Android 14,Safari,Laptop,2.0,2026-01-15,2026-01-16,2026-01-18,2026-01-19,2026-01-20,Duplicate,Code defect,40,Verified by QA,BUG-1008,Checkout feature crashes,Issue where checkout crashes,1,0.88
BUG-1016,Sprint-6,v2.0.1,Calendar,Calendar Feature,Calendar Component,Calendar Feature Duplicates Records,Calendar feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Critical,P4,Validation,Fixed,Open,Vamsi,Sneha,Amit,QA,Development,Android 14,Safari,Laptop,2.0,2026-01-16,2026-01-17,2026-01-19,2026-01-20,2026-01-21,Duplicate,Code defect,43,Verified by QA,BUG-1010,Calendar feature duplicates records,Issue where calendar duplicates records,1,0.93
BUG-1017,Sprint-6,v2.2.2,Backup,Backup Feature,Backup Component,Backup Feature Does Not Respond,Backup feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Critical,P3,API,In Progress,Open,Anil,Pooja,Sai,QA,UAT,Ubuntu 24.04,Edge,Laptop,2.0,2026-01-17,2026-01-18,2026-01-20,2026-01-21,2026-01-22,Duplicate,Code defect,48,Verified by QA,BUG-1010,Backup feature does not respond,Issue where backup does not respond,1,0.9
BUG-1018,Sprint-3,v2.6.0,Chat,Chat Feature,Chat Component,Chat Feature Fails To Upload,Chat feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,High,P2,Database,Verified,Open,Ravi,Nisha,Sai,QA,QA,iOS 18,Chrome,Laptop,2.0,2026-01-18,2026-01-19,2026-01-21,2026-01-22,2026-01-23,Fixed,Code defect,46,Verified by QA,,Chat feature fails to upload,Application shows blank screen in Scanner,0,0.48
BUG-1019,Sprint-9,v2.7.3,Profile,Profile Feature,Profile Component,Profile Feature Loads Slowly,Profile feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Critical,P1,Functional,In Progress,Open,Vamsi,Harsha,Amit,DevOps,QA,iOS 18,Safari,Laptop,2.0,2026-01-19,2026-01-20,2026-01-22,2026-01-23,2026-01-24,Fixed,Code defect,2,Verified by QA,,Profile feature loads slowly,Application loads slowly in Reports,0,0.33
BUG-1020,Sprint-4,v2.7.1,Upload,Upload Feature,Upload Component,Upload Feature Freezes,Upload feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,Critical,P1,Performance,New,Open,Anil,Pooja,Amit,Backend,Production,Windows 11,Safari,Laptop,2.0,2026-01-20,2026-01-21,2026-01-23,2026-01-24,2026-01-25,Duplicate,Code defect,28,Verified by QA,BUG-1011,Upload feature freezes,Issue where upload freezes,1,0.81
BUG-1021,Sprint-8,v2.5.5,Camera,Camera Feature,Camera Component,Camera Feature Fails To Upload,Camera feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,Low,P2,Crash,Closed,Open,Priya,Harsha,Deepak,DevOps,Production,iOS 18,Firefox,Laptop,2.0,2026-01-21,2026-01-22,2026-01-24,2026-01-25,2026-01-26,Fixed,Code defect,13,Verified by QA,,Camera feature fails to upload,Application loads slowly in Invoice,0,0.2
BUG-1022,Sprint-6,v2.2.5,Reports,Reports Feature,Reports Component,Reports Feature Duplicates Records,Reports feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Low,P1,Validation,In Progress,Open,Anil,Sneha,Rahul,Mobile,UAT,Windows 11,Safari,Laptop,2.0,2026-01-22,2026-01-23,2026-01-25,2026-01-26,2026-01-27,Duplicate,Code defect,8,Verified by QA,BUG-1022,Reports feature duplicates records,Issue where reports duplicates records,1,0.87
BUG-1023,Sprint-8,v2.7.3,Upload,Upload Feature,Upload Component,Upload Feature Crashes,Upload feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Medium,P3,Performance,Retest,Open,Priya,Pooja,Sai,Frontend,QA,Windows 11,Edge,Laptop,2.0,2026-01-23,2026-01-24,2026-01-26,2026-01-27,2026-01-28,Duplicate,Code defect,45,Verified by QA,BUG-1001,Upload feature crashes,Issue where upload crashes,1,0.85
BUG-1024,Sprint-8,v2.6.3,Download,Download Feature,Download Component,Download Feature Freezes,Download feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,Critical,P2,Functional,New,Open,Kiran,Harsha,Amit,DevOps,Development,iOS 18,Edge,Laptop,2.0,2026-01-24,2026-01-25,2026-01-27,2026-01-28,2026-01-29,Fixed,Code defect,37,Verified by QA,,Download feature freezes,Application duplicates records in Upload,0,0.27
BUG-1025,Sprint-2,v2.1.5,Backup,Backup Feature,Backup Component,Backup Feature Cannot Open,Backup feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Medium,P1,Database,Fixed,Open,Kiran,Sneha,Amit,Frontend,Production,Windows 11,Edge,Laptop,2.0,2026-01-25,2026-01-26,2026-01-28,2026-01-29,2026-01-30,Duplicate,Code defect,11,Verified by QA,BUG-1012,Backup feature cannot open,Issue where backup cannot open,1,0.81
BUG-1026,Sprint-1,v2.8.0,Backup,Backup Feature,Backup Component,Backup Feature Fails To Save,Backup feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Medium,P1,API,New,Open,Priya,Pooja,Arjun,Mobile,Development,Windows 11,Safari,Laptop,2.0,2026-01-26,2026-01-27,2026-01-29,2026-01-30,2026-01-31,Fixed,Code defect,6,Verified by QA,,Backup feature fails to save,Application returns error 500 in Profile,0,0.16
BUG-1027,Sprint-1,v2.1.2,Download,Download Feature,Download Component,Download Feature Fails To Save,Download feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,High,P1,UI,Assigned,Open,Vamsi,Pooja,Arjun,QA,QA,Windows 11,Edge,Laptop,2.0,2026-01-27,2026-01-28,2026-01-30,2026-01-31,2026-02-01,Fixed,Code defect,36,Verified by QA,,Download feature fails to save,Application returns error 500 in Camera,0,0.15
BUG-1028,Sprint-2,v2.9.2,Download,Download Feature,Download Component,Download Feature Fails To Save,Download feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Low,P2,Validation,New,Open,Priya,Harsha,Arjun,DevOps,QA,iOS 18,Chrome,Laptop,2.0,2026-01-28,2026-01-29,2026-01-31,2026-02-01,2026-02-02,Duplicate,Code defect,23,Verified by QA,BUG-1013,Download feature fails to save,Issue where download fails to save,1,0.96
BUG-1029,Sprint-6,v2.1.1,Reports,Reports Feature,Reports Component,Reports Feature Returns Error 500,Reports feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Critical,P1,UI,Open,Open,Vamsi,Harsha,Arjun,DevOps,UAT,Windows 11,Safari,Laptop,2.0,2026-01-29,2026-01-30,2026-02-01,2026-02-02,2026-02-03,Duplicate,Code defect,14,Verified by QA,BUG-1014,Reports feature returns error 500,Issue where reports returns error 500,1,0.85
BUG-1030,Sprint-2,v2.3.5,Upload,Upload Feature,Upload Component,Upload Feature Does Not Respond,Upload feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Low,P3,Database,New,Open,Priya,Pooja,Arjun,Frontend,Production,Ubuntu 24.04,Safari,Laptop,2.0,2026-01-30,2026-01-31,2026-02-02,2026-02-03,2026-02-04,Duplicate,Code defect,40,Verified by QA,BUG-1028,Upload feature does not respond,Issue where upload does not respond,1,0.81
BUG-1031,Sprint-7,v2.2.5,Sync,Sync Feature,Sync Component,Sync Feature Crashes,Sync feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Critical,P4,API,Verified,Open,Ravi,Pooja,Deepak,DevOps,QA,Windows 11,Firefox,Laptop,2.0,2026-01-31,2026-02-01,2026-02-03,2026-02-04,2026-02-05,Fixed,Code defect,2,Verified by QA,,Sync feature crashes,Application cannot open in Notification,0,0.36
BUG-1032,Sprint-3,v2.9.3,Notification,Notification Feature,Notification Component,Notification Feature Crashes,Notification feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Low,P2,Validation,Closed,Open,Vamsi,Pooja,Sai,QA,QA,Ubuntu 24.04,Firefox,Laptop,2.0,2026-02-01,2026-02-02,2026-02-04,2026-02-05,2026-02-06,Duplicate,Code defect,26,Verified by QA,BUG-1031,Notification feature crashes,Issue where notification crashes,1,0.98
BUG-1033,Sprint-4,v2.0.3,Sync,Sync Feature,Sync Component,Sync Feature Crashes,Sync feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Low,P2,Security,Assigned,Open,Kiran,Sneha,Deepak,DevOps,Production,Ubuntu 24.04,Chrome,Laptop,2.0,2026-02-02,2026-02-03,2026-02-05,2026-02-06,2026-02-07,Fixed,Code defect,2,Verified by QA,,Sync feature crashes,Application freezes in Search,0,0.25
BUG-1034,Sprint-5,v2.6.1,Dashboard,Dashboard Feature,Dashboard Component,Dashboard Feature Fails To Save,Dashboard feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Medium,P2,Validation,Assigned,Open,Vamsi,Pooja,Deepak,Mobile,UAT,Android 14,Chrome,Laptop,2.0,2026-02-03,2026-02-04,2026-02-06,2026-02-07,2026-02-08,Duplicate,Code defect,6,Verified by QA,BUG-1004,Dashboard feature fails to save,Issue where dashboard fails to save,1,0.82
BUG-1035,Sprint-10,v2.3.2,Settings,Settings Feature,Settings Component,Settings Feature Does Not Respond,Settings feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,High,P4,Security,In Progress,Open,Kiran,Nisha,Rahul,Backend,UAT,Ubuntu 24.04,Safari,Laptop,2.0,2026-02-04,2026-02-05,2026-02-07,2026-02-08,2026-02-09,Duplicate,Code defect,2,Verified by QA,BUG-1021,Settings feature does not respond,Issue where settings does not respond,1,0.94
BUG-1036,Sprint-3,v2.9.0,Settings,Settings Feature,Settings Component,Settings Feature Cannot Open,Settings feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Low,P4,Crash,Closed,Open,Anil,Nisha,Amit,Frontend,Development,Ubuntu 24.04,Edge,Laptop,2.0,2026-02-05,2026-02-06,2026-02-08,2026-02-09,2026-02-10,Duplicate,Code defect,19,Verified by QA,BUG-1021,Settings feature cannot open,Issue where settings cannot open,1,0.91
BUG-1037,Sprint-3,v2.1.1,Sync,Sync Feature,Sync Component,Sync Feature Returns Error 500,Sync feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Low,P4,Security,Fixed,Open,Anil,Harsha,Arjun,Backend,UAT,Ubuntu 24.04,Safari,Laptop,2.0,2026-02-06,2026-02-07,2026-02-09,2026-02-10,2026-02-11,Fixed,Code defect,6,Verified by QA,,Sync feature returns error 500,Application loads slowly in Profile,0,0.28
BUG-1038,Sprint-8,v2.8.3,Checkout,Checkout Feature,Checkout Component,Checkout Feature Shows Blank Screen,Checkout feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,Critical,P2,Validation,Assigned,Open,Kiran,Nisha,Deepak,Frontend,QA,Android 14,Safari,Laptop,2.0,2026-02-07,2026-02-08,2026-02-10,2026-02-11,2026-02-12,Fixed,Code defect,4,Verified by QA,,Checkout feature shows blank screen,Application loads slowly in Calendar,0,0.24
BUG-1039,Sprint-8,v2.0.0,Dashboard,Dashboard Feature,Dashboard Component,Dashboard Feature Duplicates Records,Dashboard feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Low,P4,Crash,Closed,Open,Vamsi,Nisha,Rahul,QA,Production,Windows 11,Firefox,Laptop,2.0,2026-02-08,2026-02-09,2026-02-11,2026-02-12,2026-02-13,Duplicate,Code defect,14,Verified by QA,BUG-1025,Dashboard feature duplicates records,Issue where dashboard duplicates records,1,0.82
BUG-1040,Sprint-7,v2.7.5,Backup,Backup Feature,Backup Component,Backup Feature Crashes,Backup feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Critical,P4,API,New,Open,Ravi,Sneha,Sai,Frontend,Production,iOS 18,Safari,Laptop,2.0,2026-02-09,2026-02-10,2026-02-12,2026-02-13,2026-02-14,Duplicate,Code defect,30,Verified by QA,BUG-1016,Backup feature crashes,Issue where backup crashes,1,1.0
BUG-1041,Sprint-7,v2.4.2,Calendar,Calendar Feature,Calendar Component,Calendar Feature Duplicates Records,Calendar feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Medium,P1,Security,Retest,Open,Anil,Sneha,Sai,QA,Development,Windows 11,Edge,Laptop,2.0,2026-02-10,2026-02-11,2026-02-13,2026-02-14,2026-02-15,Fixed,Code defect,11,Verified by QA,,Calendar feature duplicates records,Application shows blank screen in Chat,0,0.45
BUG-1042,Sprint-8,v2.7.3,Calendar,Calendar Feature,Calendar Component,Calendar Feature Returns Error 500,Calendar feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Low,P4,Database,Assigned,Open,Priya,Sneha,Deepak,DevOps,Production,Ubuntu 24.04,Firefox,Laptop,2.0,2026-02-11,2026-02-12,2026-02-14,2026-02-15,2026-02-16,Duplicate,Code defect,22,Verified by QA,BUG-1038,Calendar feature returns error 500,Issue where calendar returns error 500,1,0.84
BUG-1043,Sprint-6,v2.9.4,Notification,Notification Feature,Notification Component,Notification Feature Duplicates Records,Notification feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,High,P3,API,Retest,Open,Anil,Sneha,Sai,Frontend,UAT,Ubuntu 24.04,Chrome,Laptop,2.0,2026-02-12,2026-02-13,2026-02-15,2026-02-16,2026-02-17,Fixed,Code defect,28,Verified by QA,,Notification feature duplicates records,Application fails to save in Login,0,0.38
BUG-1044,Sprint-5,v2.1.0,Camera,Camera Feature,Camera Component,Camera Feature Cannot Open,Camera feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Medium,P2,Security,New,Open,Vamsi,Pooja,Deepak,QA,UAT,Windows 11,Firefox,Laptop,2.0,2026-02-13,2026-02-14,2026-02-16,2026-02-17,2026-02-18,Duplicate,Code defect,18,Verified by QA,BUG-1021,Camera feature cannot open,Issue where camera cannot open,1,0.87
BUG-1045,Sprint-1,v2.0.4,Payment,Payment Feature,Payment Component,Payment Feature Fails To Save,Payment feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Critical,P1,UI,Fixed,Open,Priya,Pooja,Arjun,DevOps,UAT,Windows 11,Firefox,Laptop,2.0,2026-02-14,2026-02-15,2026-02-17,2026-02-18,2026-02-19,Duplicate,Code defect,7,Verified by QA,BUG-1042,Payment feature fails to save,Issue where payment fails to save,1,0.85
BUG-1046,Sprint-5,v2.1.5,Maps,Maps Feature,Maps Component,Maps Feature Shows Blank Screen,Maps feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,Critical,P4,Crash,Closed,Open,Vamsi,Pooja,Deepak,Mobile,Development,Ubuntu 24.04,Firefox,Laptop,2.0,2026-02-15,2026-02-16,2026-02-18,2026-02-19,2026-02-20,Fixed,Code defect,11,Verified by QA,,Maps feature shows blank screen,Application returns error 500 in Sync,0,0.56
BUG-1047,Sprint-2,v2.4.4,Scanner,Scanner Feature,Scanner Component,Scanner Feature Fails To Save,Scanner feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Low,P1,Database,Retest,Open,Vamsi,Nisha,Arjun,Frontend,Development,Ubuntu 24.04,Firefox,Laptop,2.0,2026-02-16,2026-02-17,2026-02-19,2026-02-20,2026-02-21,Duplicate,Code defect,47,Verified by QA,BUG-1040,Scanner feature fails to save,Issue where scanner fails to save,1,0.87
BUG-1048,Sprint-5,v2.0.4,Upload,Upload Feature,Upload Component,Upload Feature Duplicates Records,Upload feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Critical,P4,Performance,Closed,Open,Ravi,Pooja,Sai,Mobile,Development,Windows 11,Safari,Laptop,2.0,2026-02-17,2026-02-18,2026-02-20,2026-02-21,2026-02-22,Duplicate,Code defect,3,Verified by QA,BUG-1008,Upload feature duplicates records,Issue where upload duplicates records,1,0.84
BUG-1049,Sprint-9,v2.6.3,Analytics,Analytics Feature,Analytics Component,Analytics Feature Loads Slowly,Analytics feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Critical,P3,Crash,New,Open,Anil,Sneha,Sai,DevOps,Production,Android 14,Safari,Laptop,2.0,2026-02-18,2026-02-19,2026-02-21,2026-02-22,2026-02-23,Fixed,Code defect,11,Verified by QA,,Analytics feature loads slowly,Application does not respond in Scanner,0,0.23
BUG-1050,Sprint-4,v2.3.4,Backup,Backup Feature,Backup Component,Backup Feature Crashes,Backup feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Low,P3,Security,In Progress,Open,Anil,Nisha,Sai,DevOps,QA,Windows 11,Firefox,Laptop,2.0,2026-02-19,2026-02-20,2026-02-22,2026-02-23,2026-02-24,Duplicate,Code defect,48,Verified by QA,BUG-1040,Backup feature crashes,Issue where backup crashes,1,0.87
BUG-1051,Sprint-3,v2.0.5,Calendar,Calendar Feature,Calendar Component,Calendar Feature Does Not Respond,Calendar feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Medium,P2,Validation,Assigned,Open,Anil,Sneha,Sai,DevOps,Development,Ubuntu 24.04,Edge,Laptop,2.0,2026-02-20,2026-02-21,2026-02-23,2026-02-24,2026-02-25,Fixed,Code defect,43,Verified by QA,,Calendar feature does not respond,Application fails to save in Login,0,0.46
BUG-1052,Sprint-5,v2.7.2,Dashboard,Dashboard Feature,Dashboard Component,Dashboard Feature Fails To Save,Dashboard feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,High,P3,API,Open,Open,Vamsi,Sneha,Amit,Mobile,Development,Ubuntu 24.04,Firefox,Laptop,2.0,2026-02-21,2026-02-22,2026-02-24,2026-02-25,2026-02-26,Fixed,Code defect,15,Verified by QA,,Dashboard feature fails to save,Application cannot open in Notification,0,0.14
BUG-1053,Sprint-8,v2.1.2,Reports,Reports Feature,Reports Component,Reports Feature Loads Slowly,Reports feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Low,P1,Performance,Verified,Open,Ravi,Nisha,Sai,QA,UAT,Android 14,Chrome,Laptop,2.0,2026-02-22,2026-02-23,2026-02-25,2026-02-26,2026-02-27,Duplicate,Code defect,37,Verified by QA,BUG-1052,Reports feature loads slowly,Issue where reports loads slowly,1,0.99
BUG-1054,Sprint-2,v2.2.1,Backup,Backup Feature,Backup Component,Backup Feature Shows Blank Screen,Backup feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,Critical,P3,Validation,Retest,Open,Priya,Nisha,Arjun,Backend,Production,iOS 18,Safari,Laptop,2.0,2026-02-23,2026-02-24,2026-02-26,2026-02-27,2026-02-28,Fixed,Code defect,12,Verified by QA,,Backup feature shows blank screen,Application duplicates records in Profile,0,0.29
BUG-1055,Sprint-10,v2.0.3,Analytics,Analytics Feature,Analytics Component,Analytics Feature Loads Slowly,Analytics feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Medium,P1,Database,Retest,Open,Ravi,Nisha,Rahul,Frontend,Production,iOS 18,Safari,Laptop,2.0,2026-02-24,2026-02-25,2026-02-27,2026-02-28,2026-03-01,Fixed,Code defect,34,Verified by QA,,Analytics feature loads slowly,Application crashes in Camera,0,0.35
BUG-1056,Sprint-1,v2.3.4,Search,Search Feature,Search Component,Search Feature Duplicates Records,Search feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Critical,P3,Validation,Verified,Open,Priya,Sneha,Arjun,Backend,QA,iOS 18,Edge,Laptop,2.0,2026-02-25,2026-02-26,2026-02-28,2026-03-01,2026-03-02,Fixed,Code defect,27,Verified by QA,,Search feature duplicates records,Application loads slowly in Payment,0,0.23
